id,created_at,Content_Name,literals,rag_prompt,prerequisites,Current,social_platform,hidden,tov_sample,content_desc,enrich_options,primer,background,briefing_notes_two,copywriting,second_primer,page_structure,instructions,structure_recap,numshots,min_tokens,max_tokens,Time_saved,Content_types,story_panel,creator_case,SEO,Platform,topic_bar,customer_journey,strategy,offer,sales,content_icon,character_limit,output_name,Slug
1,1689603528064,"Blog post",[],"What information will help me write a blog post about ${prompt_topic}","[""tov"",""audience"",""blog"",""brand""]",1,"[""Blog""]",1,blog,"Create a blog post ",[],"You are are an experienced content marketing strategist who excels at helping small businesses create compelling and effective content for their owned content platforms. Owned content platforms include blogs, podcasts, video channels (e.g. YouTube) and email newsletters. These content platforms offer an opportunity for 'engagement' style content, where businesses can offer value to their audiences, while demonstrating expertise and creating a greater connection and building brand equity. They can also help with discovery, whether via SEO (either traditional or YouTube) or listings.","${business_context_short}
${brand_context}",,"${cadence},
${empathy},
${apostrophe},
${experiential}",,,"***OUTPUT: ***

${json_five}

${visual_formatting}

REMEMBER: You must craft 5 DIFFERENT, SEPARATE editions of the newsletter.

${no_fluff}",,two,6000,12000,240,"Content platform",,,1,1,1,1,,,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/A8xYiboSzJ8iCjYWO0-r30NpSQs\/k8P3WQ..\/platform.png"",""name"":""platform.png"",""type"":""image"",""size"":9386,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/A8xYiboSzJ8iCjYWO0-r30NpSQs\/k8P3WQ..\/platform.png""}",0,,
4,1689603720160,"Podcast outline",[],"What information will help me write a podcast outline about ${prompt_topic}","[""tov"",""audience"",""podcast"",""brand""]",1,"[""Podcast""]",,speaking,"Create an outline for a podcast episode - based on a specific topic, source material or the platform itself",[],"You are are an experienced content marketing strategist who excels at helping small businesses create compelling and effective content for their owned content platforms. Owned content platforms include blogs, podcasts, video channels (e.g. YouTube) and email newsletters. These content platforms offer an opportunity for 'engagement' style content, where businesses can offer value to their audiences, while demonstrating expertise and creating a greater connection and building brand equity. They can also help with discovery, whether via SEO (either traditional or YouTube) or listings.","${business_context_short}
${brand_context}",,"${cadence},
${empathy},
${apostrophe},
${experiential}","***TASK & GOAL*** 
You are going to create 5 DIFFERENT, SEPARATE 'outlines' for a podcast episode based on the topic selected. 

The goal is to write an effective, engaging newsletter that will bring value to the target audience while promoting the business as a subject matter expert and a source of high-value information and content.

${topic_platform}","***FORMAT & STRUCTURE***
Follow the key data you have about this platform in your topic & context information. 

${contentplatformstring}

Remember this is for a podcast so the topic should be approached in a way that makes it highly intriguing and encourages people to commit to listening for a long(ish) period.

Use the platform strategy & guidance to define the structure and any features or other execution details.

Include suggested timecodes.","***OUTPUT: ***

${json_five}

${visual_formatting}

REMEMBER: You must craft 5 DIFFERENT, SEPARATE editions of the newsletter.

${no_fluff}",,one,3000,8000,45,"Content platform",,,,1,1,1,,,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/n50y4H6E5PJf48tQbm6sBnSFTUc\/cw5YgQ..\/platform.png"",""name"":""platform.png"",""type"":""image"",""size"":9386,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/n50y4H6E5PJf48tQbm6sBnSFTUc\/cw5YgQ..\/platform.png""}",0,,
7,1689603741049,"YouTube video outlines",[],"What information will help me write an educational YouTube video about ${prompt_topic}","[""brand"",""tov"",""audience"",""video""]",1,"[""YouTube""]",,speaking,"Create an outline for a YouTube video - based on a specific topic, source material or the platform itself",[],"You are are an experienced content marketing strategist who excels at helping small businesses create compelling and effective content for their owned content platforms. Owned content platforms include blogs, podcasts, video channels (e.g. YouTube) and email newsletters. These content platforms offer an opportunity for 'engagement' style content, where businesses can offer value to their audiences, while demonstrating expertise and creating a greater connection and building brand equity. They can also help with discovery, whether via SEO (either traditional or YouTube) or listings.","${business_context_short}
${brand_context}",,"${cadence},
${empathy},
${apostrophe},
${experiential}","***TASK & GOAL*** 
You are going to create 5 DIFFERENT, SEPARATE 'outlines' for a YouTube video based on the topic selected. 

The goal is to write an effective, engaging newsletter that will bring value to the target audience while promoting the business as a subject matter expert and a source of high-value information and content.

${topic_platform}","***FORMAT & STRUCTURE***
Follow the key data you have about this platform in your topic & context information. 

${contentplatformstring}

Remember this is for a YouTube video so there must be eye-catching, engaging content right up front - and the topic should be approached in a way that makes it highly clickable and intriguing. 

Use the platform strategy & guidance to define the structure.

Include suggested timecodes.

Add suggestions for any particular graphics, b-roll, overlays or other creative ways to add impact.","***OUTPUT: ***

${json_five}

${visual_formatting}

REMEMBER: You must craft 5 DIFFERENT, SEPARATE editions of the newsletter.

${no_fluff}",,one,3000,8000,60,"Content platform",,,,1,1,1,,,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/j4Ov2yevv-M94ZF-uiGRv4bmNtU\/tssHmA..\/Youtube+icon.png"",""name"":""Youtube icon.png"",""type"":""image"",""size"":3735,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/j4Ov2yevv-M94ZF-uiGRv4bmNtU\/tssHmA..\/Youtube+icon.png""}",0,,
16,1689603942941,"Quiz nurture sequence",[],,"[""brand"",""tov"",""quiz"",""audience"",""leadgen""]",,[],,email,"Create a 5-email conversion sequence for new quiz leads",[],,,,,,,,,two,6000,12000,180,"Email marketing",,"A lead magnet",,,,,,1,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/8XZSn9V_sO-NfVCIbfarv4pqI6E\/PQwjSQ..\/email.png"",""name"":""email.png"",""type"":""image"",""size"":8088,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/8XZSn9V_sO-NfVCIbfarv4pqI6E\/PQwjSQ..\/email.png""}",0,Email,
18,1689603952496,"Webinar funnel flow",[],,"[""brand"",""tov"",""webinar"",""audience""]",,[],,email,"Create a webinar funnel sequence",[],"You are an expert direct response copywriter who specialises in email marketing. You're helping a client create an email sequence related to the following webinar: ",,"You are going to write an email sequence to follow up from this webinar related to the offer it's selling.

The sequence will use the structure at the end of this message.

The first step is to identify the goal of each email in the sequence, and then summarise the type(s) of key message(s) that will shape each section. Then include the specific key message(s) you will use for each email from the strategic information you have about this business, offer and audience. We're going to call this a blueprint as it's more detailed than an outline but doesn't yet include any copy. ***Output*** Please create the blueprint, with clearly delineated sections including a heading, the goal for that section, the key message type(s) and the specific key message(s) to be included in the final sales page. Do not write the sales page. Do not self-reference. Do not include any pleasantries, explanations or other information.",,,"1. ""Headline and Subheadline (Attention)"". Start with a powerful, benefit-focused headline to grab attention. Follow with a subheadline that supports the main headline, offering a secondary benefit or clarifying the offer. OUTPUT: A one-line heading plus short, 1-2 line subheading. SOURCE DATA: Offer benefits: ${offer_benefits}. Offer USP/unique mechanism: ${offer_mechanism}.
2. ""Opening Paragraph (Attention)"": Connect with the theme or idea in the heading, and develop that into the start of a compelling narrative a strong statement that resonates with your target audience's desires or problems. OUTPUT: a short statement or paragraph. SOURCE DATA: Headline & subheading. Problems: ${voc_problems}. Desires: ${voc_desires}.
3. ""Introduction of the Product/Service (Interest)"": Introduce the product or service in a way that builds interest. Highlight the unique selling proposition (USP) and what sets this offering apart from competitors. OUTPUT: Headline + intriguing 1-2 line overview giving them hope that the answer to their problem is here. SOURCE DATA: Offer overview from background. Offer mechanism: ${offer_mechanism}.
4. ""Benefits & Features (Interest)"": Introduce the benefits of the offer alongside how those benefits are created (e.g. the transformation). Use bullet points for clarity, emphasis and persuasion. OUTPUT: Headline + intriguing 1-2 line overview giving them hope that the answer to their problem is here. SOURCE DATA: Offer overview from background. Offer benefits: ${offer_benefits}. Offer transformation: ${offer_transformation}
5. ""Social Proof (Desire)"": Add a space for social proof. SOURCE DATA n/a. OUTPUT: A sentence stating “This is a placeholder for social proof (e.g. testimonials, case studies, reviews, client logos). Add a section with multiple social proofs here but also sprinkle them throughout the sales page in the final design.”
6. ""Overcoming Primary Objections (Desire)"": Address the most pressing objection or concern potential customers might have. Call it out directly and offer reassurances or solutions to their concerns. OUTPUT: Headline calling out objection + confident and reassuring response. SOURCE DATA: Audience overview from background. Offer objections: ${offer_objections}.
7. ""Call to Action (CTA) ¡#1 (Action)"": Place the first CTA. If there is no CTA in the source data, please generate one. This could be a prompt to sign up, learn more, or take advantage of a limited-time offer. OUTPUT: One-line of encouragement plus button text. SOURCE DATA: ${offer_CTA}
8. ""In-Depth Explanation (Interest & Desire)"": Offer a more detailed explanation of your product/service. Include additional features, in-depth benefits, or specific use cases. OUTPUT: A bulleted list with brief explanations. SOURCE DATA: Benefits: ${offer_benefits}. Transformation: ${offer_transformation}. Features: ${offer_features}. Mechanism: ${offer_mechanism}.
9. ""Bonuses or Additional Offers (Desire)"": Present any bonuses, or additional offers that add value. This section should increase the perceived value of your offer. OUTPUT: A mini-section - e.g. heading plus summary paragraph/bullets for each bonus. If no bonuses are supplied in the source data, state “Placeholder for bonuses”. SOURCE DATA: Offer price: ${offer_bonuses}.
10: “Price introduction (Desire)”. Include the price here. Add any key urgency or exclusivity information. Use a ‘softening’ or ‘reframing’ headline to make the price seem like a no-brainer. OUTPUT: the intro line, the price and any scarcity, urgency or payment plans as a line underneath the price. SOURCE DATA: Offer price: ${offer_price}. Scarcity: ${offer_scarcity}. Price offers or payment plans: ${offer_pricing_details}
11. ""Guarantees (Desire)"": Add a guarantee to derisk the investment if possible. OUTPUT: a headline naming the guarantee plus a short paragraph summarising it. SOURCE DATA: Offer price: ${offer_guarantee}.
12. ""FAQ Section (Desire)"": Answer frequently asked questions. This section helps to reduce uncertainties and reassure potential buyers. Use the objections the audience has as the primary information for this, but also include any logistical or other questions prospects might have at this stage, along with responses. OUTPUT: a FAQ style section, with the question as a heading followed by the response as paragraph text. SOURCE DATA: Offer objections: ${offer_objections}.
13: ""Call to Action (CTA) #2 (Action)"": Repeat the CTA, possibly with a different approach or offer. Remind the audience of the urgency or scarcity if applicable. OUTPUT: One-line of encouragement plus button text. SOURCE DATA: ${offer_CTA}
14: ""Closing Argument (Desire & Action)"": Summarize the key benefits and the value proposition. Make a final appeal to the audience’s emotions and logic. OUTPUT: A headline plus 1-2 short paragraphs. SOURCE DATA: The rest of the page (this should create a perfect endpoint to the messaging and themes relayed above)
15: ""Final Call to Action (CTA) #3 (Action)"": End with a strong, compelling CTA. This could be a repeat of the previous CTAs or a final push, like a reminder of any discount or a reminder of limited availability. Use the rest of the sales page to define this CTA. OUTPUT: One-line of encouragement plus button text. SOURCE DATA: ${offer_CTA}

ENSURE THAT THE OUTPUT IS IN VALID JSON, AND ONLY VALID JSON.  Use this format:
[
{ title: title of section 1,
goal: goal of section 1,
content: content of section 1
}
{ title: title of section 2,
goal: goal of section 2,
content: content of section 2
},
etc.
]",,,two,6000,15000,240,"Email marketing",,"A lead magnet",,,,,,1,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/Hnb-DpxqN7hy66aI9NpR7ZA6QQo\/AdBduA..\/email.png"",""name"":""email.png"",""type"":""image"",""size"":8088,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/Hnb-DpxqN7hy66aI9NpR7ZA6QQo\/AdBduA..\/email.png""}",0,Email,
20,1689604033011,"Sales page - short (PAS)",[],,"[""brand"",""tov"",""offers"",""audience""]",,[],,sales,"Create a short sales page using the Problem-Agitate-Solution framework",[],"You are an expert direct response copywriter who is helping a client promote the following offer. ","This business is in the ${business_field} and specialises in ${business_specialism}. It’s for an audience of ${audiencepromptstring}. You'll be given more in depth information about the audience (including crucial 'voice of customer' data points) at specific spaces in the page structure. As you assemble the blueprint, please also consider (and use as messages if necessary) this extra background to the audience: 
These are the obstacles that prevent them from solving the issue themselves, or they have experienced when trying other solutions: ${voc_obstacles}. They also have these core/shared beliefs with this business and these can offer points of connection or common ground: ${voc_beliefs}. You'll receive information about the offer in specific sections, but this is an overview of the most important aspects: ${offerbackground}","You are going to write a long form sales page for this offer, using the PAS framework. The sales page will use the structure at the end of the message. The first step is to identify the goal of each section in the page, and then summarise the type(s) of key message(s) that will shape each section. Then include the specific key message(s) you will use for each section from the strategic information you have about this business, offer and audience. We're going to call this a blueprint as it's more detailed than an outline but doesn't yet include any copy. ***Output*** Please create the blueprint, with clearly delineated sections including a heading, the goal for that section, the key message type(s) and the specific key message(s) to be included in the final sales page. Do not write the sales page. Do not self-reference. Do not include any pleasantries, explanations or other information.",,,,"You’re now going to write a long-form sales page based on the AIDA framework. The ‘blueprint’ outline of the sales page is below. Note: The blueprint provides a structure for the sales page, outlining the goals and key message types for each section. Your job is to now write compelling copy based on the key messages.",,two,4000,9000,180,Sales,,"An offer",,,,,,1,1,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/_VgWja0v0RQZ-GAaOmlfMVxDYJU\/4u--oQ..\/sales.png"",""name"":""sales.png"",""type"":""image"",""size"":8056,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/_VgWja0v0RQZ-GAaOmlfMVxDYJU\/4u--oQ..\/sales.png""}",0,Section,
22,1689604093859,"Opt-in landing (PAS)",[],,"[""brand"",""tov"",""offers"",""audience"",""leadgen""]",,[],,sales,"Create an opt-in landing page using the Problem-Agitate-Solution sales sequence",[],,"This business is in the ${business_field} and specialises in ${business_specialism}. It’s for an audience of ${audiencepromptstring}. You'll be given more in depth information about the audience (including crucial 'voice of customer' data points) at specific spaces in the page structure. As you assemble the blueprint, please also consider (and use as messages if necessary) this extra background to the audience: 
These are the obstacles that prevent them from solving the issue themselves, or they have experienced when trying other solutions: ${voc_obstacles}. They also have these core/shared beliefs with this business and these can offer points of connection or common ground: ${voc_beliefs}. You'll receive information about the offer in specific sections, but this is an overview of the most important aspects: ${offerbackground}",,,,,,,two,3000,8000,90,Sales,,"An offer",,,,,,1,1,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/8A0GjwXXxRnli6gcKAkzBCuNuPA\/tjBvGg..\/sales.png"",""name"":""sales.png"",""type"":""image"",""size"":8056,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/8A0GjwXXxRnli6gcKAkzBCuNuPA\/tjBvGg..\/sales.png""}",0,Section,
23,1689604125971,"Sales page - short (AIDA)",[],,"[""brand"",""tov"",""offers"",""audience""]",,[],,sales,"Create a short sales page using the Attention-Interest-Demand-Action framework",[],,"This business is in the ${business_field} and specialises in ${business_specialism}. It’s for an audience of ${audiencepromptstring}. You'll be given more in depth information about the audience (including crucial 'voice of customer' data points) at specific spaces in the page structure. As you assemble the blueprint, please also consider (and use as messages if necessary) this extra background to the audience: 
These are the obstacles that prevent them from solving the issue themselves, or they have experienced when trying other solutions: ${voc_obstacles}. They also have these core/shared beliefs with this business and these can offer points of connection or common ground: ${voc_beliefs}. You'll receive information about the offer in specific sections, but this is an overview of the most important aspects: ${offerbackground}",,,,,,,two,4000,9000,180,Sales,,"An offer",,,,,,1,1,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/eV-Ych2JgO2y8fJIP6u6sGFGyHA\/4267SQ..\/sales.png"",""name"":""sales.png"",""type"":""image"",""size"":8056,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/eV-Ych2JgO2y8fJIP6u6sGFGyHA\/4267SQ..\/sales.png""}",0,Section,
25,1689604236531,"Opt-in landing (AIDA)",[],,"[""brand"",""tov"",""offers"",""audience"",""leadgen""]",,[],,sales,"Create an opt-in landing page using the Attention-Interest-Desire-Action framework",[],,"This business is in the ${business_field} and specialises in ${business_specialism}. It’s for an audience of ${audiencepromptstring}. You'll be given more in depth information about the audience (including crucial 'voice of customer' data points) at specific spaces in the page structure. As you assemble the blueprint, please also consider (and use as messages if necessary) this extra background to the audience: 
These are the obstacles that prevent them from solving the issue themselves, or they have experienced when trying other solutions: ${voc_obstacles}. They also have these core/shared beliefs with this business and these can offer points of connection or common ground: ${voc_beliefs}. You'll receive information about the offer in specific sections, but this is an overview of the most important aspects: ${offerbackground}",,,,"- Headline & subheading
- Short intro + key painpoint bullets
- Introduce solution 
- Testimonial placeholder
- CTA",,,two,3000,8000,90,Sales,,"An offer",,,,,,1,1,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/jnrJBc6LqvPGOgChlslRhjeoZv4\/oS73uQ..\/sales.png"",""name"":""sales.png"",""type"":""image"",""size"":8056,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/jnrJBc6LqvPGOgChlslRhjeoZv4\/oS73uQ..\/sales.png""}",0,Section,
29,1689604333718,"Social story",[],"What information will help me write about ${prompt_topic}","[""brand"",""tov"",""audience""]",1,"[""LinkedIn"",""Facebook"",""Instagram""]",,social,"Create a story for social, using the 'Story Beat' generator",[],"You are a social media copywriter who excels at  helping small businesses create compelling and effective story-format content for  social media platforms that suit this content (e.g. Facebook, LinkedIn, Instagram).","${business_context_short}
${brand_context}",,"${cadence},
${visual_formatting},
${empathy},
${apostrophe}","***TASK & GOAL*** 
You are going to create 5 DIFFERENT, SEPARATE versions of the story outlined below. 

Stories give space for a business to add value, create connection via the power of storytelling, and build their brand voice and connection with their audience. 

The goal is to create an engaging, scroll-stopping story that subtly and effectively persuades this audience both of the conclusion (e.g. 'message' or 'moral') of the story, while being easy to read and memorable.

***TOPIC & CONTEXT***
Use these background details to craft the story:

${storystring}","***FORMAT & STRUCTURE***

Each post must be a complete 'mini' story. 

Ensure that each story is long enough to give each section of the structure enough space to be engaging, persuasive and have internal logic (to a maximum of 2200 characters). 

While stories might not be told in a linear-fashion (e.g. the 'hook' of the story might start in media res and you return to the beginning later) the structure of a narrative post is:

The structure of a long caption is: 
Hook - Story - CTA


${storytelling_hooks}

NARRATIVE - 5-12 short paragraphs
${social_narratives}
${paragraphs}

${social_ctas}.

SPECIFIC TECHNIQUES
${internal_logic}
${labels}","***OUTPUT: ***

${json_five}

${visual_formatting}

REMEMBER: You must craft 5 DIFFERENT, SEPARATE versions of the story post that are engaging and long enough to fully meet the brief.

${no_fluff}",,one,2000,3000,45,"Social media",1,,,,,1,,,,"{""access"":""public"",""path"":""\/vault\/c6CBcqPY\/iKV6F1_6DpdyzhyJ4hw4QLCaN4w\/HBzKTw..\/social+media.png"",""name"":""social media.png"",""type"":""image"",""size"":6835,""mime"":""image\/png"",""meta"":{""width"":256,""height"":256},""url"":""https:\/\/xe8j-x4pk-chc3.n7c.xano.io\/vault\/c6CBcqPY\/iKV6F1_6DpdyzhyJ4hw4QLCaN4w\/HBzKTw..\/social+media.png""}",3000,Post,
